,Facility,Year,Media Type,Chemical,Releases (lb),Parent_Company
1840,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Lead and lead compounds,4.399999999999999,COEUR MINING INC
1841,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Zinc and zinc compounds,3.6,COEUR MINING INC
1842,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Chromium and chromium compounds,2.7,COEUR MINING INC
1843,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Copper and copper compounds,2.6,COEUR MINING INC
1844,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Mercury and mercury compounds,1.3,COEUR MINING INC
1845,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Nickel and nickel compounds,0.6,COEUR MINING INC
1846,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,"Trimethylbenzene, 1,2,4-",0.18,COEUR MINING INC
1847,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2015,Air,Vanadium and vanadium compounds,0.0,COEUR MINING INC
1872,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Ammonia,3600.0,COEUR MINING INC
1873,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Xylene (mixed isomers),23.0,COEUR MINING INC
1874,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Naphthalene,18.0,COEUR MINING INC
1875,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Manganese and manganese compounds,7.0,COEUR MINING INC
1876,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Lead and lead compounds,4.6,COEUR MINING INC
1877,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Zinc and zinc compounds,4.0,COEUR MINING INC
1878,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Copper and copper compounds,3.0,COEUR MINING INC
1879,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Chromium and chromium compounds,2.0,COEUR MINING INC
1880,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Mercury and mercury compounds,1.3,COEUR MINING INC
1881,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Nickel and nickel compounds,1.0,COEUR MINING INC
1882,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,"Trimethylbenzene, 1,2,4-",0.0,COEUR MINING INC
1883,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2016,Air,Vanadium and vanadium compounds,0.0,COEUR MINING INC
1905,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Ammonia,3500.0,COEUR MINING INC
1906,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Propylene (Propene),1790.0,COEUR MINING INC
1907,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Xylene (mixed isomers),31.0,COEUR MINING INC
1908,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Naphthalene,22.0,COEUR MINING INC
1909,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Manganese and manganese compounds,6.0,COEUR MINING INC
1910,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Lead and lead compounds,5.0,COEUR MINING INC
1911,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Zinc and zinc compounds,5.0,COEUR MINING INC
1912,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Copper and copper compounds,3.0,COEUR MINING INC
1913,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Mercury and mercury compounds,1.5,COEUR MINING INC
1914,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Chromium and chromium compounds,1.0,COEUR MINING INC
1915,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Nickel and nickel compounds,1.0,COEUR MINING INC
1916,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,"Trimethylbenzene, 1,2,4-",0.0,COEUR MINING INC
1917,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2017,Air,Vanadium and vanadium compounds,0.0,COEUR MINING INC
1940,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Ammonia,3900.0,COEUR MINING INC
1941,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Propylene (Propene),1800.0,COEUR MINING INC
1942,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Xylene (mixed isomers),31.0,COEUR MINING INC
1943,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Naphthalene,22.0,COEUR MINING INC
1944,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Manganese and manganese compounds,7.0,COEUR MINING INC
1945,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Zinc and zinc compounds,6.0,COEUR MINING INC
1946,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Lead and lead compounds,4.5,COEUR MINING INC
1947,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Copper and copper compounds,3.0,COEUR MINING INC
1948,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Chromium and chromium compounds,2.0,COEUR MINING INC
1949,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Mercury and mercury compounds,1.5,COEUR MINING INC
1950,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Nickel and nickel compounds,1.0,COEUR MINING INC
1951,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Ethylene glycol,0.0,COEUR MINING INC
1952,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,"Trimethylbenzene, 1,2,4-",0.0,COEUR MINING INC
1953,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2018,Air,Vanadium and vanadium compounds,0.0,COEUR MINING INC
1981,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Ammonia,4700.0,COEUR MINING INC
1982,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Propylene (Propene),1840.0,COEUR MINING INC
1983,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Xylene (mixed isomers),32.0,COEUR MINING INC
1984,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Naphthalene,22.0,COEUR MINING INC
1985,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Zinc and zinc compounds,7.0,COEUR MINING INC
1986,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Lead and lead compounds,5.1,COEUR MINING INC
1987,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Manganese and manganese compounds,5.0,COEUR MINING INC
1988,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Chromium and chromium compounds,3.0,COEUR MINING INC
1989,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Copper and copper compounds,3.0,COEUR MINING INC
1990,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Mercury and mercury compounds,1.6,COEUR MINING INC
1991,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Nickel and nickel compounds,0.0,COEUR MINING INC
1992,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,"Trimethylbenzene, 1,2,4-",0.0,COEUR MINING INC
1993,COEUR ALASKA INC KENSINGTON GOLD PROJECT - 99801CRLSK331CL,2019,Air,Vanadium and vanadium compounds,0.0,COEUR MINING INC
2020,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Hydrogen fluoride,30224.0,US DEPARTMENT OF DEFENSE
2021,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Barium and barium compounds,487.0,US DEPARTMENT OF DEFENSE
2022,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Lead and lead compounds,128.9065,US DEPARTMENT OF DEFENSE
2023,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Manganese and manganese compounds,123.0,US DEPARTMENT OF DEFENSE
2024,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Mercury and mercury compounds,2.500084,US DEPARTMENT OF DEFENSE
2025,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2007,Air,Dioxin and dioxin-like compounds,0.0007651349999999999,US DEPARTMENT OF DEFENSE
2031,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Hydrogen fluoride,33106.0,US DEPARTMENT OF DEFENSE
2032,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Barium and barium compounds,506.0,US DEPARTMENT OF DEFENSE
2033,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Lead and lead compounds,173.2065,US DEPARTMENT OF DEFENSE
2034,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Manganese and manganese compounds,165.0,US DEPARTMENT OF DEFENSE
2035,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Mercury and mercury compounds,2.730084,US DEPARTMENT OF DEFENSE
2036,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Dioxin and dioxin-like compounds,0.000606375,US DEPARTMENT OF DEFENSE
2037,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Aluminum (fume or dust),0.0,US DEPARTMENT OF DEFENSE
2038,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2008,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2044,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2009,Air,Chromium and chromium compounds,186.5,US DEPARTMENT OF DEFENSE
2045,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2009,Air,Lead and lead compounds,92.34,US DEPARTMENT OF DEFENSE
2046,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2009,Air,Barium and barium compounds,41.0,US DEPARTMENT OF DEFENSE
2047,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2009,Air,Mercury and mercury compounds,0.057,US DEPARTMENT OF DEFENSE
2048,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2009,Air,Aluminum (fume or dust),0.0,US DEPARTMENT OF DEFENSE
2056,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2010,Air,Lead and lead compounds,237.44,US DEPARTMENT OF DEFENSE
2057,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2010,Air,Barium and barium compounds,203.0,US DEPARTMENT OF DEFENSE
2058,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2010,Air,Chromium and chromium compounds,189.5,US DEPARTMENT OF DEFENSE
2059,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2010,Air,Manganese and manganese compounds,0.423,US DEPARTMENT OF DEFENSE
2060,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2010,Air,Mercury and mercury compounds,0.057,US DEPARTMENT OF DEFENSE
2068,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2011,Air,Lead and lead compounds,420.74,US DEPARTMENT OF DEFENSE
2069,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2011,Air,Barium and barium compounds,72.0,US DEPARTMENT OF DEFENSE
2070,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2011,Air,Manganese and manganese compounds,0.423,US DEPARTMENT OF DEFENSE
2071,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2011,Air,Mercury and mercury compounds,0.057,US DEPARTMENT OF DEFENSE
2078,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Lead and lead compounds,433.14,US DEPARTMENT OF DEFENSE
2079,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Chromium and chromium compounds,187.5,US DEPARTMENT OF DEFENSE
2080,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Barium and barium compounds,67.0,US DEPARTMENT OF DEFENSE
2081,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Manganese and manganese compounds,0.42,US DEPARTMENT OF DEFENSE
2082,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Mercury and mercury compounds,0.057,US DEPARTMENT OF DEFENSE
2083,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Aluminum (fume or dust),0.0,US DEPARTMENT OF DEFENSE
2084,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2012,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2093,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2013,Air,Lead and lead compounds,6402.0,US DEPARTMENT OF DEFENSE
2094,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2013,Air,Barium and barium compounds,62.0,US DEPARTMENT OF DEFENSE
2095,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2013,Air,Manganese and manganese compounds,59.0,US DEPARTMENT OF DEFENSE
2096,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2013,Air,Mercury and mercury compounds,0.0013,US DEPARTMENT OF DEFENSE
2097,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2013,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2104,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2014,Air,Lead and lead compounds,7093.200000000002,US DEPARTMENT OF DEFENSE
2105,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2014,Air,Barium and barium compounds,89.0,US DEPARTMENT OF DEFENSE
2106,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2014,Air,Manganese and manganese compounds,59.0,US DEPARTMENT OF DEFENSE
2107,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2014,Air,Mercury and mercury compounds,0.0013,US DEPARTMENT OF DEFENSE
2108,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2014,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2115,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2015,Air,Lead and lead compounds,6118.0,US DEPARTMENT OF DEFENSE
2116,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2015,Air,Barium and barium compounds,65.0,US DEPARTMENT OF DEFENSE
2117,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2015,Air,Manganese and manganese compounds,59.0,US DEPARTMENT OF DEFENSE
2118,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2015,Air,Mercury and mercury compounds,0.0013,US DEPARTMENT OF DEFENSE
2125,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2016,Air,Lead and lead compounds,6252.700000000002,US DEPARTMENT OF DEFENSE
2126,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2016,Air,Barium and barium compounds,103.0,US DEPARTMENT OF DEFENSE
2127,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2016,Air,Manganese and manganese compounds,60.48,US DEPARTMENT OF DEFENSE
2128,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2016,Air,Mercury and mercury compounds,0.0013,US DEPARTMENT OF DEFENSE
2129,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2016,Air,Aluminum (fume or dust),0.0,US DEPARTMENT OF DEFENSE
2137,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2017,Air,Lead and lead compounds,6411.0,US DEPARTMENT OF DEFENSE
2138,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2017,Air,Barium and barium compounds,106.0,US DEPARTMENT OF DEFENSE
2139,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2017,Air,Manganese and manganese compounds,59.48,US DEPARTMENT OF DEFENSE
2140,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2017,Air,Mercury and mercury compounds,0.0013,US DEPARTMENT OF DEFENSE
2147,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2018,Air,Lead and lead compounds,630.81,US DEPARTMENT OF DEFENSE
2148,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2018,Air,Barium and barium compounds,76.0,US DEPARTMENT OF DEFENSE
2149,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2018,Air,Aluminum (fume or dust),0.0,US DEPARTMENT OF DEFENSE
2150,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2018,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2160,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2019,Air,Lead and lead compounds,515.0,US DEPARTMENT OF DEFENSE
2161,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2019,Air,Barium and barium compounds,56.0,US DEPARTMENT OF DEFENSE
2162,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2019,Air,Manganese and manganese compounds,0.4,US DEPARTMENT OF DEFENSE
2163,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2019,Air,Mercury and mercury compounds,0.1,US DEPARTMENT OF DEFENSE
2164,FORT WAINWRIGHT MAIN CANTONMENT - 99703SDPRT1060G,2019,Air,Nitroglycerin,0.0,US DEPARTMENT OF DEFENSE
2172,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2007,Air,Manganese and manganese compounds,298.0,GOLDEN VALLEY ELECTRIC ASSOC
2173,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2007,Air,Mercury and mercury compounds,4.9,GOLDEN VALLEY ELECTRIC ASSOC
2174,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2007,Air,Barium and barium compounds,0.0,GOLDEN VALLEY ELECTRIC ASSOC
2175,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2007,Air,Lead and lead compounds,0.0,GOLDEN VALLEY ELECTRIC ASSOC
2180,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2008,Air,Manganese and manganese compounds,324.0,GOLDEN VALLEY ELECTRIC ASSOC
2181,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2008,Air,Mercury and mercury compounds,4.9,GOLDEN VALLEY ELECTRIC ASSOC
2182,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2008,Air,Barium and barium compounds,0.0,GOLDEN VALLEY ELECTRIC ASSOC
2183,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2008,Air,Lead and lead compounds,0.0,GOLDEN VALLEY ELECTRIC ASSOC
2188,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2009,Air,Barium and barium compounds,833.0,GOLDEN VALLEY ELECTRIC ASSOC
2189,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2009,Air,Lead and lead compounds,7.0,GOLDEN VALLEY ELECTRIC ASSOC
2190,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2009,Air,Mercury and mercury compounds,4.7,GOLDEN VALLEY ELECTRIC ASSOC
2197,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2010,Air,Manganese and manganese compounds,4218.0,GOLDEN VALLEY ELECTRIC ASSOC
2198,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2010,Air,Barium and barium compounds,1231.0,GOLDEN VALLEY ELECTRIC ASSOC
2199,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2010,Air,Lead and lead compounds,9.0,GOLDEN VALLEY ELECTRIC ASSOC
2200,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2010,Air,Mercury and mercury compounds,4.3,GOLDEN VALLEY ELECTRIC ASSOC
2209,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2011,Air,Manganese and manganese compounds,3826.0,GOLDEN VALLEY ELECTRIC ASSOC
2210,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2011,Air,Barium and barium compounds,888.0,GOLDEN VALLEY ELECTRIC ASSOC
2211,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2011,Air,Lead and lead compounds,8.0,GOLDEN VALLEY ELECTRIC ASSOC
2212,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2011,Air,Mercury and mercury compounds,4.2,GOLDEN VALLEY ELECTRIC ASSOC
2221,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2012,Air,Manganese and manganese compounds,5691.0,GOLDEN VALLEY ELECTRIC ASSOC
2222,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2012,Air,Barium and barium compounds,1181.0,GOLDEN VALLEY ELECTRIC ASSOC
2223,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2012,Air,Lead and lead compounds,8.0,GOLDEN VALLEY ELECTRIC ASSOC
2224,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2012,Air,Mercury and mercury compounds,4.8,GOLDEN VALLEY ELECTRIC ASSOC
2237,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2013,Air,Barium and barium compounds,1741.0,GOLDEN VALLEY ELECTRIC ASSOC
2238,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2013,Air,Mercury and mercury compounds,4.4,GOLDEN VALLEY ELECTRIC ASSOC
2239,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2013,Air,Lead and lead compounds,1.0,GOLDEN VALLEY ELECTRIC ASSOC
2240,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2013,Air,Manganese and manganese compounds,1.0,GOLDEN VALLEY ELECTRIC ASSOC
2253,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2014,Air,Barium and barium compounds,1741.0,GOLDEN VALLEY ELECTRIC ASSOC
2254,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2014,Air,Manganese and manganese compounds,284.0,GOLDEN VALLEY ELECTRIC ASSOC
2255,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2014,Air,Lead and lead compounds,21.0,GOLDEN VALLEY ELECTRIC ASSOC
2256,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2014,Air,Mercury and mercury compounds,2.6,GOLDEN VALLEY ELECTRIC ASSOC
2267,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Barium and barium compounds,2218.0,GOLDEN VALLEY ELECTRIC ASSOC
2268,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Manganese and manganese compounds,432.0,GOLDEN VALLEY ELECTRIC ASSOC
2269,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,"Hexane, n-",113.0,GOLDEN VALLEY ELECTRIC ASSOC
2270,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Lead and lead compounds,22.0,GOLDEN VALLEY ELECTRIC ASSOC
2271,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Mercury and mercury compounds,10.2,GOLDEN VALLEY ELECTRIC ASSOC
2272,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Naphthalene,5.0,GOLDEN VALLEY ELECTRIC ASSOC
2273,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,Polycyclic aromatic compounds,0.3,GOLDEN VALLEY ELECTRIC ASSOC
2274,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2015,Air,"Trimethylbenzene, 1,2,4-",0.0,GOLDEN VALLEY ELECTRIC ASSOC
2291,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2016,Air,Barium and barium compounds,660.0,GOLDEN VALLEY ELECTRIC ASSOC
2292,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2016,Air,Manganese and manganese compounds,114.0,GOLDEN VALLEY ELECTRIC ASSOC
2293,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2016,Air,"Hexane, n-",16.0,GOLDEN VALLEY ELECTRIC ASSOC
2294,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT - 99743HLYPW25MIL,2016,Air,Lead and lead compounds,8.78,GOLDEN VALLEY ELECTRIC ASSOC
